epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
26,64.6261,0.85843,2.5011,1.97674,0.00952,0.29183,0.65961,0.51667,0.57763,0.40392,0.76298,0.68333,0.71583,0.29948,1.67539,3.00232,1.54213,0.01193,0,2.23869e-05,2.23869e-05,2.23869e-05
27,67.2702,0.78409,2.00177,1.70797,0.00671,0.41473,0.70513,0.51667,0.56758,0.39811,0.82174,0.68333,0.71683,0.29866,1.78673,2.92913,1.37901,0.01386,0,2.2976e-05,2.2976e-05,2.2976e-05
28,69.7108,1.00295,2.17131,1.82074,0.01067,0.41441,0.70513,0.51667,0.56758,0.39811,0.82174,0.68333,0.71683,0.29866,1.78673,2.92913,1.37901,0.01386,0,2.35417e-05,2.35417e-05,2.35417e-05
29,72.1687,1.32942,2.33984,1.91642,0.01105,0.38627,0.69265,0.51667,0.56471,0.39482,0.78042,0.66667,0.69476,0.29612,1.76975,2.96121,1.4114,0.01372,0,2.40837e-05,2.40837e-05,2.40837e-05
30,74.5856,0.8735,2.38516,1.60348,0.00892,0.41899,0.69265,0.51667,0.56471,0.39482,0.78042,0.66667,0.69476,0.29612,1.76975,2.96121,1.4114,0.01372,0,2.46022e-05,2.46022e-05,2.46022e-05
31,77.0536,0.96428,2.36259,1.84486,0.0105,0.44014,0.67519,0.52379,0.55035,0.38687,0.75829,0.67379,0.69582,0.29469,1.77259,2.98273,1.42947,0.01376,0,2.50971e-05,2.50971e-05,2.50971e-05
32,79.4524,1.07701,2.19559,2.05966,0.00921,0.31141,0.67519,0.52379,0.55035,0.38687,0.75829,0.67379,0.69582,0.29469,1.77259,2.98273,1.42947,0.01376,0,2.55685e-05,2.55685e-05,2.55685e-05
33,81.8934,0.93747,2.17614,1.73654,0.01206,0.37382,0.66434,0.52898,0.54796,0.37032,0.74292,0.67898,0.69226,0.2937,1.78042,3.00215,1.44709,0.01383,0,2.60163e-05,2.60163e-05,2.60163e-05
34,84.2998,0.87382,2.38727,1.81527,0.01173,0.37623,0.66434,0.52898,0.54796,0.37032,0.74292,0.67898,0.69226,0.2937,1.78042,3.00215,1.44709,0.01383,0,2.64405e-05,2.64405e-05,2.64405e-05
35,86.8271,1.09272,2.26212,1.7186,0.0104,0.51487,0.65779,0.53254,0.54796,0.37014,0.73512,0.68254,0.69088,0.29325,1.78526,3.02496,1.46473,0.01385,0,2.68412e-05,2.68412e-05,2.68412e-05
